,precision,recall,f1-score,support
crack,0.8,0.6857142857142857,0.7384615384615385,175.0
missing-head,0.8950617283950617,0.8579881656804734,0.8761329305135952,169.0
paint-off,0.5042016806722689,0.6896551724137931,0.5825242718446602,87.0
accuracy,0.7540603248259861,0.7540603248259861,0.7540603248259861,0.7540603248259861
macro avg,0.7330878030224435,0.7444525412695174,0.7323729136065978,431.0
weighted avg,0.7775660749820251,0.7540603248259861,0.7609671604131142,431.0
