,precision,recall,f1-score,support
crack,0.65,0.8171428571428572,0.7240506329113924,175.0
missing-head,0.8012048192771084,0.7869822485207101,0.7940298507462686,169.0
paint-off,0.4444444444444444,0.22988505747126436,0.30303030303030304,87.0
accuracy,0.6867749419953596,0.6867749419953596,0.6867749419953596,0.6867749419953596
macro avg,0.6318830879071843,0.6113367210449439,0.6070369288959879,431.0
weighted avg,0.6677964759269094,0.6867749419953596,0.6665047375852655,431.0
